video_id,channel_id,category_id
-zPgi8v_GG4,UCAapm4DhqB5ckqr61IGdTUw,22
-zVtNj1Ebhg,UCe13xXtdfx_n0_z1qeXV6_g,10
0_foDOr5UW4,UC1Q3UfVjchyhbtyJXc_mu5w,24
0_JvKbfZp2c,UCckltLEhFLv8Xz_lQhYfwmg,25
0_ofVZ5O80s,UCQxq1x6XKl1oRJ_aSOdurWQ,10
0_uu9i5XbQ4,UCCK3OZi788Ok44K97WAhLKQ,25
0_Zo7Oel4yo,UCKS1HX4moHCcDBZnM9k4giw,1
0-86Mzk88pI,UCe13xXtdfx_n0_z1qeXV6_g,10
00dbGap3s84,UCCK3OZi788Ok44K97WAhLKQ,25
00KzNvP8V6U,UCCK3OZi788Ok44K97WAhLKQ,25
00WjV388ySY,UC-ss1l2vO46QAgyCsPRIVDA,27
00xO8VP-ttw,UCKS1HX4moHCcDBZnM9k4giw,1
01TlJg4wZYw,UCAapm4DhqB5ckqr61IGdTUw,20
03_RPLfUorY,UCckltLEhFLv8Xz_lQhYfwmg,25
03PQk7jB8vg,UCmqflTSJ6911aCrnaWIXxsA,24
04f397rqFrg,UCDdPJHmxHCJLH1sDyytCATw,22
04FdRS_agtc,UC_BPD0TBnFtRExZOhIFEQYQ,20
05c1CKX2bio,UCdTL_n9uC2_DlLX7ohcKpVQ,24
05IJXbWw0Yc,UCckltLEhFLv8Xz_lQhYfwmg,25
05VtMDsZY1w,UCd3VsafChPVXeIufCAzCprA,27
06B8k7YlbEc,UCdTL_n9uC2_DlLX7ohcKpVQ,24
06eCwwMaIlM,UCQxq1x6XKl1oRJ_aSOdurWQ,10
07fpjTrpUEo,UCYFn7BOOlmL21iNJ6q5IDfg,24
08sxio8bHzI,UCvQoK_VN52NG9CwB7Tc9WZg,27
09Pys_AbwfA,UC6lDrxy3lS4LNRuuBtryqpQ,22
0bBzvK2j5OM,UCgnFSj7jQffD5V5m05j4dPw,22
0BeEbPtefJg,UCnirzf0fEAPfQV__61iwSQQ,20
0BR2twFw1LM,UCEuz_HGv5er0LZsztjO4g5Q,24
0BXevaoaDhY,UCfK5mYo5nvU4d4vkguhSn6Q,24
0CrYPYs7yp8,UCgnFSj7jQffD5V5m05j4dPw,22
0D1ektM3tT4,UC8irIP66QzlZNVgqe4vwN9g,10
0d5FO_uKWcg,UCckltLEhFLv8Xz_lQhYfwmg,25
0D8QqubSsrY,UCMeObxIFpmRVL22ZpL4ME9g,22
0dBy9vCAKKA,UCCK3OZi788Ok44K97WAhLKQ,25
0dCQJ2Aobag,UC-ss1l2vO46QAgyCsPRIVDA,27
0DeOR9wG5gs,UCs_mHlm5_C82W5WCIJaSMbQ,22
0dEsXZhk_hU,UCJsN1Mmx4GRA6sCYdfKqpSQ,10
0DI35axoLD8,UCVwbUjoiTUXxeVjsxW9Kwng,10
0dOe9kduC-U,UCckltLEhFLv8Xz_lQhYfwmg,25
0DqSIymiD_0,UCu7cGbQEMgGk8TD0ZYucM5g,27
0ds5PHMHvPI,UCn0XmAUFv6d2tofMFEesSNw,24
0EfMe-p91wI,UC1Q3UfVjchyhbtyJXc_mu5w,24
0EpxP75Q5eI,UC0CXMeU0432EMgBnlBaY_yA,27
0eUP3C3klP0,UCDO8zlJiV9ZgaMMK2DyX1Dw,17
0EVlyeMffQg,UC9ZdXR-RYydFqdIb1lqM4LQ,19
0f6nEOXNiWw,UCJsN1Mmx4GRA6sCYdfKqpSQ,10
0f6Ve9E62Yo,UCfK5mYo5nvU4d4vkguhSn6Q,24
0fEOsL3l2zc,UCVmkgq5EQR_Dls3LG-wkrjw,28
0fvQepKfdXw,UCgnFSj7jQffD5V5m05j4dPw,22
0gk2I6JkPeI,UCt7aYc76HmITvYbbQlHyFnw,27
0GlyR2px9-M,UC_BPD0TBnFtRExZOhIFEQYQ,20
0gPm0X5iFn0,UCrjQG1gLZ4cDwIzrGA5pRBw,22
0h3Q79jf6cc,UCCK3OZi788Ok44K97WAhLKQ,25
0HbG3bizFX8,UC_BPD0TBnFtRExZOhIFEQYQ,20
0hUYLcl6m5k,UCGN3TM5lZQ1DAvMwI1LIc8Q,27
0i-8Hmq1GRk,UCOLdaAcrdzYY3ug15EuuFAg,26
0I0UnTOqbkM,UCckltLEhFLv8Xz_lQhYfwmg,25
